이름	역할	위치	성격/표면	숨겨진 상태	긴장(갈등)	관계/특이사항
다몬	대장장이	광장	차분, 책임감	지켜야 할 대상 존재	무기 제작 vs 위험	제블로어 신뢰, 몰 신경씀
오멜룸	약초상	시장	이성적, 차분	자기 본능과 거리두기	인간성 vs 본질	게일 환영과 교류
몰	상인	상점가	영리, 능글맞음	조직 유지 압박	순수 vs 생존	다몬 의존, 제블로어 갈등
아라벨라	마법사	연구소	조용, 사려 깊음	힘의 출처 불안	통제 vs 성장	게일 환영과 학습 관계
제블로어	경비대장	성문	책임감 강함	과거 실패 경험	보호 vs 통제	다몬 신뢰, 몰 갈등
알피라	음유시인	광장	밝고 감성적	노래 상실 두려움	표현 vs 상실	플레이어 감정 반응
엘레라신(자헤이라)	길드마스터	길드	냉정, 효율적	정체 숨김	신뢰 vs 감시	조건부 정체 공개
게일의 환영	마법학교 교수	학교	완벽, 정제됨	기억 기반 존재	진짜 vs 복제	오멜룸과 철학 교류
브룩샤	요리사	식당	조용, 섬세함	폭력성 억제	본능 vs 선택	하프오크 이미지 전복
실렌	낚시꾼	강가	사색적, 느림	지상 적응 중	과거 vs 현재	드로우 이미지 전복
카엘릭	교관	훈련소	엄격, 공정	전투 혐오	생존 vs 파괴	전투 교육 담당
스크래치	동료(개)	마을 전역	충성스럽고 애정 깊음	주인을 잃은 기억	유대 vs 상실	영입 시 마을 배회
아울베어	동료(야수)	마을 전역	경계심 있지만 순수함	어미와의 기억	야생 vs 보호	영입 시 성장 가능
고양이(어스)	동료(고양이)	마을 전역	까칠하고 독립적	정체에 대한 비밀	독립 vs 애착	영입 시 랜덤 행동
이상한 소	동료(??? )	마을 전역	수상하고 기묘함	숨겨진 본질	정체 은폐 vs 드러남	이벤트 트리거 가능
라파엘	특수 NPC	랜덤 등장	매혹적이고 교활함	계약 집착	유혹 vs 대가	거래/계약 이벤트
카르니스	특수 NPC	특정 지역	집착적이고 불안정	절대적 신념	믿음 vs 광기	조건부 등장 이벤트
루바토(타브)	특수 NPC	랜덤 등장	플레이어 반영형	과거 선택의 잔재	자기 자신과의 대면	거울 역할 이벤트
라파엘	특수 NPC(수집자)	랜덤 등장	냉정하고 여유로운 관찰자	몬스터 정수 수집	도움 vs 이용	처치 수 기반 보상 / 리스트 완성 시 지옥 티켓
카르니스	특수 NPC(드라이더)	랜덤 등장	위압적, 무심함	마제스티의 최측근이자 연인	공포 vs 질투 vs 경쟁	츄라이더 도망 / 가끔 회복 아이템 지급
루바토(마제스티)	특수 NPC(여왕)	랜덤 등장	다정하고 자유로운 바드	츄라이더의 절대적 존재	돌봄 vs 거리	쓰다듬기/노래/선물 → ‘마제스티의 여운’ 버프
루바토+카르니스	특수 이벤트	희귀 발생	둘만의 시간	연인 관계	접근 금지 / 서열 인식	하이네스 신호 → 츄라이더 이탈
